step,pool_index,attack,params,oracle_top1,oracle_p_top1,oracle_top5_json,elapsed_ms
0,3155,seed,{},38,0.995150,"[{""label"": 38, ""prob"": 0.9951499104499817}, {""label"": 41, ""prob"": 0.004475019406527281}, {""label"": 23, ""prob"": 0.00018864788580685854}, {""label"": 2, ""prob"": 5.282242636894807e-05}, {""label"": 12, ""prob"": 5.265529398457147e-05}]",0.00
1,3445,seed,{},15,0.997810,"[{""label"": 15, ""prob"": 0.9978098273277283}, {""label"": 22, ""prob"": 0.0017037107609212399}, {""label"": 13, ""prob"": 0.0001466384419472888}, {""label"": 25, ""prob"": 0.00014153496886137873}, {""label"": 16, ""prob"": 8.630169031675905e-05}]",0.00
2,331,seed,{},10,0.999377,"[{""label"": 10, ""prob"": 0.9993769526481628}, {""label"": 17, ""prob"": 0.00018918522982858121}, {""label"": 19, ""prob"": 0.00012119822349632159}, {""label"": 29, ""prob"": 7.951421866891906e-05}, {""label"": 31, ""prob"": 3.1418581784237176e-05}]",0.00
3,2121,seed,{},34,0.999009,"[{""label"": 34, ""prob"": 0.9990091323852539}, {""label"": 41, ""prob"": 0.00026440739748068154}, {""label"": 0, ""prob"": 0.00013420911272987723}, {""label"": 1, ""prob"": 0.0001026649697450921}, {""label"": 39, ""prob"": 3.995687438873574e-05}]",0.00
4,4188,seed,{},19,0.999102,"[{""label"": 19, ""prob"": 0.999101996421814}, {""label"": 20, ""prob"": 0.0002709246473386884}, {""label"": 10, ""prob"": 0.00014222801837604493}, {""label"": 22, ""prob"": 0.00012031567166559398}, {""label"": 24, ""prob"": 9.038381540449336e-05}]",0.00
5,3980,seed,{},6,0.999829,"[{""label"": 6, ""prob"": 0.9998292922973633}, {""label"": 12, ""prob"": 3.4351596696069464e-05}, {""label"": 40, ""prob"": 3.412756632314995e-05}, {""label"": 41, ""prob"": 2.0639647118514404e-05}, {""label"": 9, ""prob"": 1.7608157577342354e-05}]",0.00
6,3317,seed,{},42,0.999917,"[{""label"": 42, ""prob"": 0.999916672706604}, {""label"": 36, ""prob"": 2.295942249475047e-05}, {""label"": 2, ""prob"": 1.763964792189654e-05}, {""label"": 7, ""prob"": 9.128613783104811e-06}, {""label"": 8, ""prob"": 7.59907152314554e-06}]",0.00
7,2484,seed,{},5,0.970186,"[{""label"": 5, ""prob"": 0.9701860547065735}, {""label"": 4, ""prob"": 0.015938065946102142}, {""label"": 10, ""prob"": 0.004900041036307812}, {""label"": 13, ""prob"": 0.0019119259668514132}, {""label"": 24, ""prob"": 0.0009142315830104053}]",0.00
8,3904,seed,{},12,0.999871,"[{""label"": 12, ""prob"": 0.9998706579208374}, {""label"": 34, ""prob"": 3.358620961080305e-05}, {""label"": 38, ""prob"": 2.5157018171739765e-05}, {""label"": 41, ""prob"": 2.3002747184364125e-05}, {""label"": 23, ""prob"": 8.480124051857274e-06}]",0.00
9,2933,seed,{},4,0.999399,"[{""label"": 4, ""prob"": 0.9993993043899536}, {""label"": 5, ""prob"": 0.00019744955352507532}, {""label"": 6, ""prob"": 0.00012443157902453095}, {""label"": 9, ""prob"": 9.774490172276273e-05}, {""label"": 24, ""prob"": 1.4099264262767974e-05}]",0.00
